<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.08.24	00:00:00	44.420	44.440	44.410	44.420	8	0	20
2020.08.24	00:01:00	44.420	44.420	44.360	44.360	16	0	20
2020.08.24	00:02:00	44.350	44.360	44.350	44.350	9	0	20
2020.08.24	00:03:00	44.330	44.340	44.320	44.320	8	0	20
2020.08.24	00:04:00	44.320	44.320	44.270	44.280	13	0	20
2020.08.24	00:05:00	44.290	44.320	44.290	44.290	11	0	20
2020.08.24	00:06:00	44.280	44.330	44.280	44.330	11	0	20
2020.08.24	00:07:00	44.330	44.360	44.330	44.350	6	0	20
2020.08.24	00:08:00	44.350	44.350	44.340	44.340	4	0	20
2020.08.24	00:09:00	44.330	44.340	44.330	44.340	6	0	20
2020.08.24	00:10:00	44.340	44.340	44.330	44.340	3	0	20
2020.08.24	00:11:00	44.340	44.340	44.340	44.340	1	0	20
2020.08.24	00:12:00	44.340	44.350	44.340	44.350	2	0	20
2020.08.24	00:13:00	44.350	44.360	44.350	44.360	2	0	20
2020.08.24	00:14:00	44.360	44.360	44.350	44.350	10	0	20
2020.08.24	00:15:00	44.350	44.380	44.350	44.380	10	0	20
2020.08.24	00:16:00	44.380	44.380	44.370	44.380	5	0	20
2020.08.24	00:17:00	44.370	44.390	44.370	44.380	6	0	20
2020.08.24	00:18:00	44.380	44.390	44.380	44.380	3	0	20
2020.08.24	00:19:00	44.380	44.380	44.380	44.380	1	0	20
2020.08.24	00:20:00	44.390	44.390	44.380	44.380	10	0	20
2020.08.24	00:21:00	44.380	44.390	44.380	44.390	2	0	20
2020.08.24	00:22:00	44.390	44.390	44.370	44.370	5	0	20
2020.08.24	00:23:00	44.370	44.390	44.370	44.390	3	0	20
2020.08.24	00:24:00	44.380	44.380	44.360	44.370	4	0	20
2020.08.24	00:25:00	44.360	44.370	44.360	44.370	6	0	20
2020.08.24	00:26:00	44.370	44.390	44.370	44.380	4	0	20
2020.08.24	00:27:00	44.380	44.390	44.380	44.390	4	0	20
2020.08.24	00:28:00	44.390	44.390	44.380	44.390	5	0	20
2020.08.24	00:29:00	44.390	44.390	44.360	44.360	6	0	20
2020.08.24	00:30:00	44.370	44.380	44.370	44.380	4	0	20
2020.08.24	00:31:00	44.380	44.380	44.330	44.340	9	0	20
2020.08.24	00:32:00	44.340	44.370	44.330	44.370	8	0	20
2020.08.24	00:33:00	44.370	44.390	44.370	44.390	13	0	20
2020.08.24	00:34:00	44.380	44.390	44.380	44.380	9	0	20
2020.08.24	00:35:00	44.380	44.410	44.380	44.410	8	0	20
2020.08.24	00:36:00	44.410	44.410	44.400	44.410	3	0	20
2020.08.24	00:37:00	44.410	44.410	44.390	44.390	9	0	20
2020.08.24	00:38:00	44.370	44.400	44.370	44.400	6	0	20
2020.08.24	00:39:00	44.410	44.420	44.410	44.420	2	0	20
2020.08.24	00:40:00	44.420	44.420	44.390	44.420	9	0	20
2020.08.24	00:41:00	44.420	44.420	44.410	44.420	5	0	20
2020.08.24	00:42:00	44.420	44.420	44.410	44.410	6	0	20
2020.08.24	00:43:00	44.410	44.410	44.410	44.410	1	0	20
